region_name,first_date,first_price,last_date,last_price,price_gain
Aberdeenshire,2004-01-01,81693.66964,2021-08-01,197417.0753,115723.40566
Adur,1995-01-01,54516.42545,2021-08-01,344315.5944,289799.16895
Allerdale,1995-01-01,44464.03724,2021-08-01,159776.9961,115312.95885999998
Amber Valley,1995-01-01,45424.80814,2021-08-01,206525.4752,161100.66705999998
Angus,2004-01-01,71248.9951,2021-08-01,162207.5676,90958.57250000001
Antrim and Newtownabbey,2005-01-01,114851.5283,2021-08-01,157468.3252,42616.79689999999
Ards and North Down,2005-01-01,130398.5697,2021-08-01,173630.4783,43231.908599999995
Argyll and Bute,2004-01-01,79248.64021,2021-08-01,158460.1748,79211.53459000001
Armagh City Banbridge and Craigavon,2005-01-01,100785.146,2021-08-01,134091.0589,33305.91290000001
Arun,1995-01-01,59473.60257,2021-08-01,324329.7241,264856.12153
Ashfield,1995-01-01,38911.87777,2021-08-01,167914.216,129002.33823
Ashford,1995-01-01,61338.95382,2021-08-01,314726.0859,253387.13208
Babergh,1995-01-01,56527.9818,2021-08-01,314359.6986,257831.7168
Barking and Dagenham,1995-01-01,50460.2266,2021-08-01,334219.3443,283759.1177
Barnet,1995-01-01,93284.51832,2021-08-01,552793.0944,459508.5760799999
Barnsley,1995-01-01,38105.62476,2021-08-01,149055.049,110949.42424
Barrow-in-Furness,1995-01-01,28323.554,2021-08-01,144580.1635,116256.60949999999
Basildon,1995-01-01,52453.42747,2021-08-01,340105.9649,287652.53743
Basingstoke and Deane,1995-01-01,66281.8882,2021-08-01,329428.606,263146.71780000004
Bassetlaw,1995-01-01,43989.74709,2021-08-01,178771.1023,134781.35521
Bath and North East Somerset,1995-01-01,66274.96336,2021-08-01,383537.191,317262.22764
Bedford,1995-01-01,58523.21445,2021-08-01,324369.7536,265846.53914999997
Belfast,2005-01-01,105516.5044,2021-08-01,145337.1083,39820.60389999999
Bexley,1995-01-01,64958.09036,2021-08-01,372338.2445,307380.15414
Birmingham,1995-01-01,44744.7962,2021-08-01,209176.2033,164431.4071
