date_year,average_price
1972,5405.896910825001
2000,88342.68630793321
1970,3754.5037254000013
2017,245929.27138836437
1981,19658.97151124999
1976,9740.784391225
2018,251895.25325929053
1998,69454.01823818075
1974,8127.360665400002
1973,7356.039973974997
1982,20252.87828574999
2016,235668.23209330405
2010,182463.22766081008
1987,33837.972225500016
2013,188199.47613673835
2008,189679.6385691093
2006,175684.77207587118
1996,57669.784185437704
1984,24288.73918949999
1968,3398.7987606666657
1969,3535.3701100499984
2009,170751.43999149583
1994,50949.61851865382
1980,18676.761479999997
1997,63190.266535188
2014,204663.5698552277
1992,50061.44414795922
1986,29571.119079250006
2012,182974.6977767194
2011,180920.4380318522
1989,50769.45979250004
2003,139084.88590745602
1993,49730.90691576915
2007,194099.30211110227
2005,164595.49779655776
1983,22456.167244999986
1990,51051.56270624999
2019,252696.51699090216
1995,56876.832853414875
2002,116527.63008628646
1985,26288.16053599999
1971,4146.475411375001
2015,219077.71329108885
2001,98690.69592805061
1991,50866.411816250016
1975,8737.172922775006
2004,154086.35345492096
2021,274922.1509320314
1977,10577.622632749995
1978,12256.068523325004
1988,42291.96602649999
2020,258340.3085242859
1999,75553.68115083776
1979,15609.692120250005
